0.00	-4.00
0.00	-3.58
0.00	-3.17
0.00	-2.75
0.00	-2.33
0.00	-1.92
0.00	-1.50
0.00	-1.08
0.00	-0.67
0.00	-0.25
0.78	-4.00
0.78	-3.58
0.78	-3.17
0.78	-2.75
0.78	-2.33
0.78	-1.92
0.78	-1.50
0.78	-1.08
0.78	-0.67
0.78	-0.25
1.56	-4.00
1.56	-3.58
1.56	-3.17
1.56	-2.75
1.56	-2.33
1.56	-1.92
1.56	-1.50
1.56	-1.08
1.56	-0.67
1.56	-0.25
2.33	-4.00
2.33	-3.58
2.33	-3.17
2.33	-2.75
2.33	-2.33
2.33	-1.92
2.33	-1.50
2.33	-1.08
2.33	-0.67
2.33	-0.25
3.11	-4.00
3.11	-3.58
3.11	-3.17
3.11	-2.75
3.11	-2.33
3.11	-1.92
3.11	-1.50
3.11	-1.08
3.11	-0.67
3.11	-0.25
3.89	-4.00
3.89	-3.58
3.89	-3.17
3.89	-2.75
3.89	-2.33
3.89	-1.92
3.89	-1.50
3.89	-1.08
3.89	-0.67
3.89	-0.25
4.67	-4.00
4.67	-3.58
4.67	-3.17
4.67	-2.75
4.67	-2.33
4.67	-1.92
4.67	-1.50
4.67	-1.08
4.67	-0.67
4.67	-0.25
5.44	-4.00
5.44	-3.58
5.44	-3.17
5.44	-2.75
5.44	-2.33
5.44	-1.92
5.44	-1.50
5.44	-1.08
5.44	-0.67
5.44	-0.25
6.22	-4.00
6.22	-3.58
6.22	-3.17
6.22	-2.75
6.22	-2.33
6.22	-1.92
6.22	-1.50
6.22	-1.08
6.22	-0.67
6.22	-0.25
7.00	-4.00
7.00	-3.58
7.00	-3.17
7.00	-2.75
7.00	-2.33
7.00	-1.92
7.00	-1.50
7.00	-1.08
7.00	-0.67
7.00	-0.25
